year,population,GDP
1960,93673615,44.30734295
1965,98447002,90.95027826
1970,104929251,212.6091877
1975,112413359,521.5419057
1980,117816940,1105.385811
1985,121883482,1398.892549
1990,124505240,3132.817653
1995,126365484,5449.117512
2000,127524174,4887.519736
2005,128326116,4755.410128
2010,128542353,5700.098115
2015,127985133,4389.475623
